,category,description,photo,price,productName
20,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/nowodvorski-(technolux).html"" title=""Nowodvorski"">Nowodvorski</a></p><p><strong>Wykonanie:</strong> stal lakierowana, abażur, szkło</p>
<p>Kolor: biały</p>
<p><strong>Źródło światła:</strong> 6 x E27 max 60W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: 70 cm</p>
<p>Szerokość: 156 cm</p>
<p>Średnica klosza: 42 cm</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-hawk-white-nowodvorski-8843.jpg,669.00,Lampa wisząca HAWK WHITE Nowodvorski 8843
21,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/pl_lampy-azzardo,111.html"" title=""Azzardo"">Azzardo</a></p><p><strong>Kolor:</strong> czarny</p>
<p><strong>Wykonanie:</strong> Metal, szkło</p>
<p><strong>Źródło światła:</strong> 6 x E14 max 40W - nie w komplecie</p>
<p>Klasa energetyczna: G - A</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: 50 cm</p>
<p>Szerokość: 120 cm</p>
<p> </p>",https://www.cudownelampy.pl/files/lampa-wiszaca-helios-6-czarna-azzardo-az4698.jpg,1199.00,Lampa wisząca HELIOS 6 czarna  AZzardo AZ4698
22,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/pl_lampy-azzardo,111.html"" title=""Azzardo"">Azzardo</a></p><p><strong>Kolor:</strong> złoty</p>
<p><strong>Wykonanie:</strong> Metal, szkło</p>
<p><strong>Źródło światła:</strong> 6 x E14 max 40W - nie w komplecie</p>
<p>Klasa energetyczna: G - A</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: 50 cm</p>
<p>Szerokość: 120 cm</p>
<p> </p>",https://www.cudownelampy.pl/files/lampa-wiszaca-helios-6-zlota-azzardo-az4699.jpg,1199.00,Lampa wisząca HELIOS 6 złota  AZzardo AZ4699
23,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/nowodvorski-(technolux).html"" title=""Nowodvorski"">Nowodvorski</a></p><p><strong>Wykonanie: </strong>stal lakierowana</p>
<p>Kolor: czarny wnętrze złote</p>
<p><strong>Źródło światła:</strong> 1 x E27 max 100W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 95 cm</p>
<p>Wysokość klosza: 24,5</p>
<p>Średnica: 50 cm</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-hemisphere-hit-nowodvorski-6777.jpg,329.00,Lampa wisząca HEMISPHERE HIT L Nowodvorski 6778
24,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/nowodvorski-(technolux).html"" title=""Nowodvorski"">Nowodvorski</a></p><p><strong>Wykonanie: </strong>stal lakierowana</p>
<p>Kolor: czarny wnętrze złote</p>
<p><strong>Źródło światła:</strong> 1 x E27 max 100W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 95 cm</p>
<p>Wysokość klosza: 16,5</p>
<p>Średnica: 33,5 cm</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-hemisphere-hit-nowodvorski-6777.jpg,169.00,Lampa wisząca HEMISPHERE HIT Nowodvorski 6777
25,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/nowodvorski-(technolux).html"" title=""Nowodvorski"">Nowodvorski</a></p><p><strong>Wykonanie: </strong>stal lakierowana</p>
<p>Kolor: do wyboru</p>
<p>- 4843 czarny wnętrze białe</p>
<p>- 4844 czarny wnętrze złote</p>
<p><strong>Źródło światła:</strong> 1 x E27 max 100W - nie w komplecie</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 130 cm</p>
<p>Średnica: 50 cm</p>
<p>W ofercie CudowneLampy.pl znajdziecie Państwo <a href=""lampy-wiszace.html"">nowoczesne lampy</a>, najmodniejsze wzory i nakorzystniejsze ceny!</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-hemisphere-hit-nowodvorski-6777.jpg,319.00,Lampa wisząca HEMISPHERE L Nowodvorski 4843 / 4844 do wyboru
26,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/nowodvorski-(technolux).html"" title=""Nowodvorski"">Nowodvorski</a></p><p><strong>Wykonanie:</strong> stal lakierowana / szkło</p>
<p><strong>Kolor:</strong> do wyboru:</p>
<p>- White 5528</p>
<p>- Concrete 5531</p>
<p>- Graphite 5530</p>
<p><strong>Źródło światła:</strong> 1 x E27 max 60W - nie w komplecie</p>
<p><strong>Wymiary:</strong></p>
<p>Średnica: 33 cm</p>
<p>Wysokość: max 130 cm</p>
<p><a href=""nowodvorski-(technolux).html"">Oświetlenie Nowodvorski</a> - poznaj wyjątkową ofertę na naszej stronie.</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-industrial-m-nowodvorski-(kolor-do-wyboru).jpg,298.50,Lampa wisząca INDUSTRIAL M Nowodvorski 5528 / 5531 / 5530 (kolor do wyboru)
27,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/pl_lampy-azzardo,111.html"" title=""Azzardo"">Azzardo</a></p><p><strong>Kolor do wyboru:</strong> </p>
<p>- czarny</p>
<p>- biały</p>
<p>- szampański</p>
<p><strong>Wykonanie:</strong> Metal, aluminium</p>
<p><strong>Źródło światła:</strong> 1 x GU10 max 35W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość klosza: 25,9 cm</p>
<p>Szerokość klosza: 6 cm</p>
<p> </p>
<p> </p>",https://www.cudownelampy.pl/files/lampa-wiszaca-locus-l-azzardo-az3129-az3128-az3130-kolor-do-wyboru.jpg,169.00,Lampa wisząca LOCUS L   AZzardo AZ3129 AZ3128 AZ3130 - kolor do wyboru
28,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/pl_lampy-azzardo,111.html"" title=""Azzardo"">Azzardo</a></p><p><strong>Kolor do wyboru:</strong> </p>
<p>- czarny</p>
<p>- biały</p>
<p>- szampański</p>
<p><strong>Wykonanie:</strong> Metal, aluminium</p>
<p><strong>Źródło światła:</strong> 3 x GU10 max 35W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość klosza: 25,9 cm</p>
<p> Możliwość dowolnego rozmieszczania zwisów</p>
<p> </p>",https://www.cudownelampy.pl/files/lampa-wiszaca-locus-l-3-azzardo-az3403-az3402-az3404-kolor-do-wyboru.jpg,529.00,Lampa wisząca LOCUS L  3  AZzardo AZ3403 AZ3402 AZ3404 - kolor do wyboru
29,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/pl_lampy-azzardo,111.html"" title=""Azzardo"">Azzardo</a></p><p><strong>Kolor do wyboru:</strong> </p>
<p>- czarny</p>
<p>- biały</p>
<p>- szampański</p>
<p><strong>Wykonanie:</strong> Metal, aluminium</p>
<p><strong>Źródło światła:</strong> 5 x GU10 max 35W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość klosza: 25,9 cm</p>
<p> Możliwość dowolnego rozmieszczania zwisów</p>
<p> </p>",https://www.cudownelampy.pl/files/lampa-wiszaca-locus-l-pendant-5-azzardo-az3406-az3405-az3407-kolor-do-wyboru.jpg,799.00,Lampa wisząca LOCUS L  5  AZzardo AZ3406 AZ3405 AZ3407 - kolor do wyboru
